Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0,190000009;-4,67728281;-0,00205226;0,09455201;-0,082654402;-0,821309686;-7,629925728;-3,906728983;0,137126356;948333418,8
0,193333343;-4,682225704;-0,001390347;0,137321502;-0,127057374;-0,548143566;-2,381230354;-4,650322914;0,137126356;948333418,8
0,196666676;-4,674084187;-0,001482936;-0,015580849;-0,272865176;-0,313578248;-3,221758127;-4,125073433;0,137126356;948333418,8
0,200000009;-4,587614059;-0,001797771;0,002082966;-0,557871997;-0,391074777;-15,74847698;-4,535558701;0,137126356;948333418,9
0,203333343;-4,647640705;-0,001675189;0,175209969;-0,374216855;-0,498873293;-17,02649307;-4,715714455;0,137126356;948333418,9
0,206666676;-4,607825756;-0,00254062;0,334134668;0,010579652;-0,650372863;-7,463787079;-4,01475811;0,137126356;948333418,9
0,21000001;-4,634370327;-0,002225992;0,275072575;-0,046644036;-0,330957472;-4,324106216;-3,752959013;0,137126356;948333418,9
0,213333343;-4,567926407;-0,001671092;0,204214394;-0,05213486;-0,450399071;-0,489715785;-4,412883759;0,137126356;948333418,9
0,216666677;-4,707730293;-0,002021531;0,095873803;-0,179408118;-0,317106903;-10,36794186;-3,609042645;0,137126356;948333418,9
0,22000001;-4,65396452;-0,001540243;0,253002703;-0,265526593;-0,61014539;-9,039651871;-3,708736181;0,137126356;948333418,9
0,223333344;-4,641023159;-0,001308976;0,243762642;-0,017336775;-0,496135712;-3,203817606;-5,147239685;0,137126356;948333418,9
0,226666677;-4,590880394;-0,001925364;0,016129725;0,214574471;-0,206428781;-4,537218094;-4,777345181;0,137126356;948333418,9
0,230000011;-4,717422485;-0,002292473;-0,040094323;-0,02342598;-0,34071666;-6,838917255;-4,753717422;0,137126356;948333418,9
0,233333344;-4,747594357;-0,001858699;-0,202633664;-0,149320409;-0,175566331;-3,013292551;-4,558265209;0,137126356;948333418,9
0,236666678;-4,714085102;-0,001724718;-0,199766517;-0,193934754;-0,149334356;0,232946515;-3,936630249;0,137126356;948333418,9
0,240000011;-4,681602478;-0,002056901;-0,140011728;-0,343424708;-0,381316632;-6,16024971;-3,346668959;0,137126356;948333418,9
0,243333345;-4,677268982;-0,00155801;-0,421928167;-0,206797779;-0,311472297;-4,878512859;-3,270923853;0,137126356;948333418,9
0,246666678;-4,761731625;-0,001777747;-0,244998991;-0,285071075;-0,515180826;1,210205674;-3,600532532;0,137126356;948333418,9
0,250000012;-4,63082695;-0,002161524;-0,050065223;-0,089603566;-0,433829814;-5,034865379;-3,784496069;0,137126356;948333418,9
0,253333345;-4,732696533;-0,002465506;-0,097893491;0,089232646;-0,359936535;-7,540116787;-4,28630209;0,137126356;948333418,9
0,256666679;-4,916244507;-0,001927603;-0,024142891;0,053342633;-0,439788043;-2,475630999;-4,739816189;0,137126356;948333418,9
0,260000012;-4,813579082;-0,002003017;-0,178670689;0,009485452;-0,297964275;-4,529699326;-4,788639545;0,137126356;948333418,9
0,263333346;-4,607256413;-0,002085564;-0,237703487;-0,072060399;-0,31007725;-1,753148675;-4,176046848;0,137126356;948333418,9
0,266666679;-4,77809906;-0,001324153;-0,120876573;-0,242504492;-0,171945348;2,200711012;-4,433379173;0,137126356;948333418,9
0,270000013;-4,752009869;-0,001585312;-0,281359881;-0,015021698;-0,417546928;-5,050058842;-5,269053936;0,137126356;948333418,9
0,273333346;-4,643484116;-0,001622739;-0,214045301;-0,129592642;-0,320805579;-4,101488113;-5,075189114;0,137126356;948333418,9
0,27666668;-4,639096737;-0,00137535;-0,239725694;-0,12300206;-0,436391562;-2,19158411;-5,139438152;0,137126356;948333418,9
0,280000013;-4,646432877;-0,001870849;-0,138196751;-0,140454844;-0,511462152;-3,388269186;-4,731925964;0,137126356;948333418,9
0,283333347;-4,782474995;-0,002075924;-0,130703852;-0,206168041;-0,364335001;0,659639776;-4,176551819;0,137126356;948333418,9
0,28666668;-4,841633797;-0,001616163;-0,170357302;0,119184472;-0,65302372;-4,161994457;-4,089392185;0,137126356;948333418,9
0,290000014;-4,733018875;-0,001427929;-0,051387474;0,285176724;-0,09243577;-7,224908352;-3,885671139;0,137126356;948333418,9
0,293333347;-4,711218357;-0,001960725;-0,007622323;-0,024384383;-0,335241765;0,496299207;-3,419617414;0,137126356;948333418,9
0,296666681;-4,747635365;-0,001938379;0,136042237;-0,099225104;-0,400676519;-1,067357063;-3,557865381;0,137126356;948333418,9
0,300000014;-4,773331165;-0,001204115;0,086776681;-0,437711567;-0,346992433;-4,995026588;-4,684060574;0,137126356;948333419
0,303333348;-4,692273617;-0,001474006;0,16736038;-0,181260258;-0,376030982;-7,334579945;-5,054455757;0,137126356;948333419
0,306666681;-4,707953453;-0,002114213;0,022700863;-0,204610765;-0,621042013;-2,412328243;-4,677191734;0,137126356;948333419
0,310000015;-4,64913559;-0,002033005;0,058935359;-0,190172419;-0,421019346;-0,888722003;-4,246059418;0,137126356;948333419
0,313333348;-4,763912678;-0,002098435;0,073291399;-0,245402649;-0,315174639;-5,952704906;-3,343411684;0,137126356;948333419
0,316666682;-4,629432201;-0,001566758;0,114023693;-0,051374681;-0,397543669;-13,35049629;-3,482504845;0,137126356;948333419
0,320000015;-4,585599422;-0,001042161;0,15875867;-0,498698264;-0,621809363;-8,294286728;-2,871249676;0,137126356;948333419
0,323333349;-4,694158077;-0,001853005;0,205967292;-0,362643063;-0,549991965;-3,877789736;-2,134730577;0,137126356;948333419
0,326666682;-4,683594227;-0,002135075;0,214917168;0,220146507;-0,441589355;-4,162732124;-2,602343321;0,137126356;948333419
0,330000016;-4,710834503;-0,002029492;0,182131574;-0,165051341;-0,360523403;-8,712465286;-2,159041166;0,137126356;948333419
0,333333349;-4,64335537;-0,001194111;0,330592513;-0,069010623;-0,296461463;-6,506243706;-1,701180696;0,137126356;948333419
0,336666683;-4,545050144;-0,001438089;0,179479539;-0,041393023;-0,512744188;-0,040789958;-1,278664589;0,137126356;948333419
0,340000016;-4,563275814;-0,001652466;0,164150536;-0,494855702;-0,582082212;-1,545941472;-1,207419276;0,137126356;948333419
0,34333335;-4,626254082;-0,002247474;0,286288232;-0,292734474;-0,372426033;-5,595379353;-1,505023718;0,137126356;948333419
0,346666683;-4,578625202;-0,00206396;0,220782027;-0,243118212;-0,454738647;-5,150120735;-2,283479691;0,137126356;948333419
0,350000017;-4,699275494;-0,001741465;0,244885966;-0,405563682;-0,555081606;0,006261304;-2,862383127;0,137126356;948333419
0,35333335;-4,660054207;-0,001642734;0,250587046;0,170218691;-0,406774014;-1,289472818;-2,682096958;0,137126356;948333419
0,356666684;-4,716735363;-0,001432189;0,072596669;0,051131386;-0,398035824;-6,056977272;-3,149296999;0,137126356;948333419
0,360000017;-4,683894634;-0,001950322;0,160390094;-0,487840474;-0,705068052;-10,12175083;-4,436499596;0,137126356;948333419
0,363333351;-4,505569935;-0,002431198;8,02399E-05;-0,429130018;-0,502879858;-5,826109409;-3,747334242;0,137126356;948333419
0,366666684;-4,5695467;-0,002176357;-0,228501812;0,363702416;-0,152058721;-4,965834618;-1,648180366;0,137126356;948333419
0,370000018;-4,626069069;-0,001670783;-0,081051715;0,238374621;-0,216568246;-4,468952179;-1,391436815;0,137126356;948333419
0,373333351;-4,747918129;-0,001791308;0,00322263;0,110403739;-0,115733735;-5,837801933;-1,266769767;0,137126356;948333419
0,376666685;-4,845965862;-0,001614526;-0,082182266;-0,252293676;-0,28725788;-5,394256115;-1,431344628;0,137126356;948333419
0,380000018;-4,707678795;-0,001562794;-0,080770448;-0,256790042;-0,559418023;-1,466563106;-1,374944925;0,137126356;948333419
0,383333352;-4,683179855;-0,001559089;0,073529519;-0,254074156;-0,54295963;-2,013766289;-2,304391384;0,137126356;948333419
0,386666685;-4,557673454;-0,00173285;-0,03859327;-0,022955824;-0,646262407;-3,236427069;-2,579461575;0,137126356;948333419
0,390000019;-4,643051624;-0,001547344;-0,10135676;-0,158063188;-0,410559714;0,457230091;-1,372925878;0,137126356;948333419
0,393333352;-4,660746098;-0,001756347;-0,036861435;-0,148461074;-0,399066627;-5,471093655;-1,418507934;0,137126356;948333419
0,396666686;-4,505132198;-0,002184182;-0,101105466;-0,433192402;-0,146473214;-1,350657463;-0,789519846;0,137126356;948333419
0,400000019;-4,634053707;-0,001831924;-0,208777964;-0,575364769;-0,400072217;3,517337561;-0,904411018;0,137126356;948333419,1
0,403333352;-4,71935606;-0,001721063;-0,193171918;-0,39351055;-0,490879267;-2,507409573;-2,064299583;0,137126356;948333419,1
0,406666686;-4,695822716;-0,001818365;-0,132041976;-0,293562412;-0,687306404;-10,38968086;-2,634058714;0,137126356;948333419,1
0,410000019;-4,719032288;-0,001881776;-0,173809081;0,063053042;-0,491554439;-4,547404289;-2,191574097;0,137126356;948333419,1
0,413333353;-4,694142342;-0,001889053;-0,11150188;0,363875002;-0,489459872;-1,613911867;-1,913426042;0,137126356;948333419,1
0,416666686;-4,806382656;-0,00183321;-0,143872127;0,01485837;-0,118732743;3,251270294;-1,463769913;0,137126356;948333419,1
0,42000002;-4,671565533;-0,00192958;-0,171119601;-0,400331438;-0,385001183;5,193182468;-0,73736608;0,137126356;948333419,1
0,423333353;-4,613250732;-0,002017346;-0,064804904;-0,347799748;-0,401541471;-5,199319363;-0,677512169;0,137126356;948333419,1
0,426666687;-4,600393295;-0,001967254;-0,044178333;-0,088364705;-0,443503141;-2,389496088;-0,593833864;0,137126356;948333419,1
0,43000002;-4,710944653;-0,002297845;-0,088134617;-0,160505056;-0,658867538;-3,860549688;-0,315396905;0,137126356;948333419,1
0,433333354;-4,808161736;-0,002157776;-0,094245702;-0,173467129;-0,49632284;2,619936466;-0,643912971;0,137126356;948333419,1
0,436666687;-4,662968159;-0,001517356;-0,005542996;-0,197271481;-0,344351709;-0,788110733;-1,942129016;0,137126356;948333419,1
0,440000021;-4,707795143;-0,001366879;-0,010250639;-0,125444129;-0,687016726;-1,88293767;-2,74138093;0,137126356;948333419,1
0,443333354;-4,688611984;-0,001485115;0,031374399;-0,305903941;-0,802508712;-0,917267025;-3,028678656;0,137126356;948333419,1
