Time  1 - default sample rate                                   ;Load [N];Displacement [mm];AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate
0.330000016;-6.318084717;-0.005021497;-0.035308048;0.233047187;-0.964605153;19.51580048;-2.583435535;0.098360285;947504010.4
0.333333349;-6.329273224;-0.005280077;-0.083688498;0.426552176;-1.136316657;6.617185116;-2.713754177;0.098360285;947504010.4
0.336666683;-6.45613718;-0.005380915;0.058957662;0.302132756;-0.983307481;-10.07378578;-2.550408602;0.098360285;947504010.4
0.340000016;-6.338777065;-0.004625521;0.071741812;-0.112348653;-1.046770573;30.45596695;-1.983326912;0.098360285;947504010.4
0.34333335;-6.1910882;-0.004700431;0.080599017;0.017012555;-0.95670104;-4.579180717;-2.057229996;0.098360285;947504010.4
0.346666683;-6.271223545;-0.005032437;0.035416014;0.294823349;-1.149197578;7.981826782;-1.389471173;0.098360285;947504010.4
0.350000017;-6.424634457;-0.005079077;-0.001406556;0.317018569;-1.077993989;26.61069298;-1.111379027;0.098360285;947504010.4
0.35333335;-6.419127941;-0.004734804;-0.027400201;0.326534003;-0.830015481;-8.304274559;-2.392110348;0.098360285;947504010.4
0.356666684;-6.410754681;-0.004951728;-0.082419612;0.073163934;-0.9500494;21.55693626;-2.770385742;0.098360285;947504010.4
0.360000017;-6.432971478;-0.004977515;0.062722482;0.308728904;-0.782929659;8.56379509;-1.832676053;0.098360285;947504010.4
0.363333351;-6.463751316;-0.005312122;-0.006737818;0.525397539;-1.017360449;-17.56675911;-0.769156158;0.098360285;947504010.4
0.366666684;-6.28441;-0.004844621;0.047678966;0.587181985;-0.9226138;26.56709671;-1.475130081;0.098360285;947504010.4
0.370000018;-6.278948307;-0.004797786;0.083525576;0.499586761;-0.70452559;4.790681839;-1.6794101;0.098360285;947504010.4
0.373333351;-6.230418682;-0.004611177;0.043544054;0.351683885;-0.807250619;-0.40764308;-2.462117195;0.098360285;947504010.4
0.376666685;-6.370530605;-0.004694809;-0.024164326;0.380422413;-1.031532884;25.95088959;-2.823122263;0.098360285;947504010.5
0.380000018;-6.437013149;-0.004463265;-0.0357081;0.326379567;-1.072736979;-7.979869366;-2.666468143;0.098360285;947504010.5
0.383333352;-6.1477561;-0.004740091;0.043785058;0.054439668;-1.139037013;5.903167248;-1.964372277;0.098360285;947504010.5
0.386666685;-6.256603241;-0.004765838;0.013655886;0.078419141;-1.11662209;22.12354279;-3.204815865;0.098360285;947504010.5
0.390000019;-6.098567963;-0.004849199;0.035534397;0.44265008;-1.040603042;-10.04992676;-2.731011629;0.098360285;947504010.5
0.393333352;-6.306001186;-0.004798498;0.097688749;0.410124749;-1.11176908;22.84521866;-1.395468116;0.098360285;947504010.5
0.396666686;-6.235525131;-0.004870113;0.013872958;0.528285146;-0.846296608;0.433226794;-1.052239895;0.098360285;947504010.5
0.400000019;-6.165140152;-0.004951477;-0.040078375;0.356742144;-0.623722196;-10.82303905;-1.582427382;0.098360285;947504010.5
0.403333352;-6.260343075;-0.00461617;-0.021896884;0.254118383;-0.899427772;32.76336288;-2.197538853;0.098360285;947504010.5
0.406666686;-6.283732414;-0.005261584;0.068502009;0.010833106;-0.85992521;-0.580655217;-2.61299181;0.098360285;947504010.5
0.410000019;-6.297588348;-0.005126816;-0.080312155;-0.271432191;-0.961246073;-5.513538837;-2.841192961;0.098360285;947504010.5
0.413333353;-6.441001892;-0.005207452;-0.253228813;0.069676764;-0.982763171;25.34781647;-3.767146587;0.098360285;947504010.5
0.416666686;-6.334479809;-0.005130779;-0.209886193;0.152723819;-0.57693243;-8.657200813;-2.739795923;0.098360285;947504010.5
0.42000002;-6.221170902;-0.004986133;-0.316524088;0.164761841;-0.532791674;15.90058899;-2.60834837;0.098360285;947504010.5
0.423333353;-6.179086208;-0.004851141;-0.095708996;0.436484098;-0.85507369;29.37838554;-2.781827927;0.098360285;947504010.5
0.426666687;-6.165669441;-0.005117501;0.136195704;0.414979488;-0.819046974;-11.69221497;-2.405678511;0.098360285;947504010.5
0.43000002;-6.175771236;-0.004815668;-0.093855165;0.074953742;-1.017758369;23.06125832;-2.827977657;0.098360285;947504010.5
0.433333354;-6.341281891;-0.004911466;-0.121837363;0.371238708;-1.206819654;10.68802357;-3.229494572;0.098360285;947504010.5
0.436666687;-6.469678402;-0.005122448;-0.042712692;0.381230146;-1.115889192;0.594686031;-2.8524611;0.098360285;947504010.5
0.440000021;-6.5216856;-0.004654218;-0.024896622;0.183481619;-0.827062964;28.14016533;-2.239740133;0.098360285;947504010.5
0.443333354;-6.387396812;-0.004475154;-0.081112921;-0.155304596;-1.276154637;-9.235137939;-2.442479134;0.098360285;947504010.5
0.446666688;-6.326591492;-0.004708291;-0.134818166;-0.136747673;-1.357386708;8.885718346;-1.935449123;0.098360285;947504010.5
0.450000021;-6.286921978;-0.004901087;-0.000218503;-0.00669599;-1.214830875;22.04645538;-1.763412833;0.098360285;947504010.5
0.453333355;-6.310966492;-0.005072708;0.106284648;-0.043241546;-0.780200124;-9.982008934;-1.803107619;0.098360285;947504010.5
0.456666688;-6.168178558;-0.005035182;0.044906858;0.606245995;-0.859170675;25.89793587;-1.709042668;0.098360285;947504010.5
0.460000022;-6.275316238;-0.004727108;0.100037746;0.250802904;-0.810677946;-4.46030283;-1.96853447;0.098360285;947504010.5
0.463333355;-6.343746185;-0.004770291;-0.010358085;0.163913995;-1.070237279;10.33630371;-2.031584263;0.098360285;947504010.5
0.466666689;-6.185167313;-0.004985459;-0.042545833;0.005873314;-1.270269632;20.88790703;-1.72277236;0.098360285;947504010.5
0.470000022;-6.278071404;-0.005424869;0.111489296;-0.23951149;-1.053712726;-18.71540833;-2.31710887;0.098360285;947504010.5
0.473333356;-6.444172382;-0.005757467;0.122974537;0.242393866;-0.659634113;18.58522797;-3.393071175;0.098360285;947504010.5
0.476666689;-6.3344841;-0.005093426;0.054920826;0.045370419;-0.819944561;1.656532884;-3.482226372;0.098360285;947504010.6
0.480000023;-6.408166885;-0.004465253;-0.001876278;0.269857943;-0.72499007;-1.57085681;-4.372162819;0.098360285;947504010.6
0.483333356;-6.437571049;-0.004624758;-0.017177807;0.273571759;-1.26662004;31.90243721;-3.818524122;0.098360285;947504010.6
0.48666669;-6.254602432;-0.00508733;-0.019653149;0.349990815;-0.910893559;-4.104532719;-3.288999319;0.098360285;947504010.6
0.490000023;-6.27584219;-0.004962218;-0.08421658;0.542815506;-0.928889215;3.826479912;-3.535162926;0.098360285;947504010.6
0.493333357;-6.354349136;-0.00522318;-0.123489425;0.763994038;-0.962976813;19.5069313;-3.998594761;0.098360285;947504010.6
0.49666669;-6.388231277;-0.005287133;-0.007395794;0.466976762;-0.682777762;-11.06321239;-3.979530573;0.098360285;947504010.6
0.500000024;-6.415178776;-0.005035061;-0.017516945;0.339265347;-0.498201728;24.24419785;-2.495990038;0.098360285;947504010.6
0.503333357;-6.3304286;-0.004920872;-0.008462614;-0.045184176;-0.761543751;2.653772116;-0.994707406;0.098360285;947504010.6
0.506666691;-6.308767319;-0.004574918;-0.049307194;-0.063495532;-1.184482932;-5.893584728;-1.088948369;0.098360285;947504010.6
0.510000024;-6.323083878;-0.004765153;-0.039929934;0.216451138;-1.236172438;23.82246017;-0.422046065;0.098360285;947504010.6
0.513333358;-6.21079874;-0.005050741;-0.085356563;0.298875451;-1.164939404;-12.7884264;0.108903363;0.098360285;947504010.6
0.516666691;-6.122791767;-0.004361204;0.082582958;0.296909183;-1.167081714;13.14752007;0.342482507;0.098360285;947504010.6
0.520000025;-6.511987209;-0.004725815;0.09629906;0.075855553;-0.862615526;7.972148895;0.830481529;0.098360285;947504010.6
0.523333358;-6.350393772;-0.00468584;-0.046378557;0.121460751;-1.115848422;-20.10040283;0.774160266;0.098360285;947504010.6
0.526666692;-6.335969448;-0.004982632;0.072662294;0.301982582;-1.19046247;25.09842873;0.28927806;0.098360285;947504010.6
0.530000025;-6.359790325;-0.004892746;0.176275566;0.34197405;-0.90172565;-2.105453014;0.004955635;0.098360285;947504010.6
0.533333359;-6.406099796;-0.005190604;0.15671657;0.497843057;-1.034528971;3.90669775;-0.1924472;0.098360285;947504010.6
0.536666692;-6.391490459;-0.005562127;0.057873592;-0.054732926;-1.264824986;24.7886467;0.743783057;0.098360285;947504010.6
0.540000026;-6.496966839;-0.005189355;-0.079485029;-0.115694165;-1.13745141;-14.38228321;0.422215492;0.098360285;947504010.6
0.543333359;-6.424372196;-0.005042286;-0.032561351;0.050230298;-0.907189071;25.04404831;0.441788137;0.098360285;947504010.6
